accel x,accel y,accel z,freefall,colision,Motion,Time_of_use,date,Time
9.80665,-0.8237586,0.1176798,False,False,False,0:00:00,2021-11-16,21:02:13.107053
9.6889702,-0.8237586,0.1176798,False,False,False,0:00:10.007306,2021-11-16,21:02:11.977041
9.7674234,-0.784532,0.1176798,False,False,False,0:00:00,2021-11-16,21:02:10.891935
9.7281968,-0.8629851999999999,0.1569064,False,False,False,0:00:00,2021-11-16,21:02:09.810417
9.7674234,-0.8237586,0.1569064,False,False,False,0:00:00,2021-11-16,21:02:08.684454
9.7281968,-0.8237586,0.0784532,False,False,False,0:00:00,2021-11-16,21:02:07.572523
9.7674234,-0.8629851999999999,0.1176798,False,False,False,0:00:00,2021-11-16,21:02:06.374433
9.7674234,-0.8629851999999999,0.1569064,False,False,False,0:00:00,2021-11-16,21:02:05.304784
9.7674234,-0.784532,0.1176798,False,False,False,0:00:00,2021-11-16,21:02:04.159921
9.7674234,-0.8237586,0.1569064,False,False,False,0:00:00,2021-11-16,21:02:03.050922
9.6889702,-0.8237586,0.1176798,False,False,False,0:00:00,2021-11-16,21:02:01.969667
9.7281968,-0.784532,0.1569064,False,False,False,0:00:00,2021-11-16,21:02:00.833645
holder
9.80665,-0.8237586,0.1176798,False,False,False,0:00:00,2021-11-16,21:01:59.734283
9.7674234,-0.8629851999999999,0.1569064,False,False,False,0:00:21.146021,2021-11-16,21:01:58.632724
9.7674234,-0.9022117999999999,0.1176798,False,False,False,0:00:00,2021-11-16,21:01:57.563606
9.7674234,-0.8629851999999999,0.1569064,False,False,False,0:00:00,2021-11-16,21:01:56.459392
9.7674234,-0.8629851999999999,0.196133,False,False,False,0:00:00,2021-11-16,21:01:55.295295
9.7674234,-0.8237586,0.1176798,False,False,False,0:00:00,2021-11-16,21:01:54.174967
9.7281968,-0.8237586,0.1569064,False,False,False,0:00:00,2021-11-16,21:01:53.076294
9.7281968,-0.8237586,0.0784532,False,False,False,0:00:00,2021-11-16,21:01:51.974132
9.7674234,-0.8237586,0.1569064,False,False,False,0:00:00,2021-11-16,21:01:50.835545
9.7281968,-0.8237586,0.0784532,False,False,False,0:00:00,2021-11-16,21:01:49.715305
9.80665,-0.8237586,0.0784532,False,False,False,0:00:00,2021-11-16,21:01:48.599084
9.7281968,-0.8237586,0.196133,False,False,False,0:00:00,2021-11-16,21:01:47.454454
holder
9.7281968,-0.8629851999999999,0.1569064,False,False,False,0:00:00,2021-11-16,21:01:46.283515
9.7674234,-0.784532,0.196133,False,False,False,0:00:00,2021-11-16,21:01:45.210949
9.7674234,-0.8237586,0.1569064,False,False,False,0:00:00,2021-11-16,21:01:44.136664
9.7674234,-0.8237586,0.1176798,False,False,False,0:00:00,2021-11-16,21:01:42.992380
9.7674234,-0.8237586,0.1176798,False,False,False,0:00:00,2021-11-16,21:01:41.920155
9.6889702,-0.8629851999999999,0.1176798,False,False,False,0:00:00,2021-11-16,21:01:40.843490
